focus_area_norm,focus_area_simple,sample_count,focus_area_display,specialty,specialty_score,assignment_source,runner_up,runner_up_score,score_margin
myhre syndrome,myhre syndrome,10,Myhre syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
what i need to know about gestational diabetes,what i need to know about gestational diabetes,10,What I need to know about Gestational Diabetes,Endocrinology & Diabetes,0.42218419909477234,anchor_similarity,General & Preventive Medicine,0.0,0.42218419909477234
foodborne illnesses,foodborne illnesses,10,Foodborne Illnesses,General & Preventive Medicine,0.08870948851108551,fallback_default,General & Preventive Medicine,0.0,0.08870948851108551
hearing loss,hearing loss,10,Hearing Loss,Otolaryngology & ENT,1.0,regex_override,General & Preventive Medicine,0.0,1.0
hereditary leiomyomatosis and renal cell cancer,hereditary leiomyomatosis and renal cell cancer,10,Hereditary leiomyomatosis and renal cell cancer,Oncology,1.0,regex_override,Oncology,0.41471225,0.5852877497673035
familial hypertrophic cardiomyopathy,familial hypertrophic cardiomyopathy,10,Familial hypertrophic cardiomyopathy,Cardiology & Vascular,1.0,regex_override,General & Preventive Medicine,0.0,1.0
spinal muscular atrophy,spinal muscular atrophy,10,Spinal Muscular Atrophy,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
spina bifida,spina bifida,10,Spina Bifida,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
tubular aggregate myopathy,tubular aggregate myopathy,10,Tubular aggregate myopathy,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
glucose-6-phosphate dehydrogenase deficiency,glucose 6 phosphate dehydrogenase deficiency,10,Glucose-6-phosphate dehydrogenase deficiency,General & Preventive Medicine,0.019179003313183784,fallback_default,General & Preventive Medicine,0.0,0.019179003313183784
what i need to know about hepatitis b,what i need to know about hepatitis b,10,What I need to know about Hepatitis B,Infectious Diseases,1.0,regex_override,Gastroenterology & Hepatology,0.04159065,0.9584093503654003
cleidocranial dysplasia,cleidocranial dysplasia,10,Cleidocranial dysplasia,Genetics & Rare Disorders,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
tumor necrosis factor receptor-associated periodic syndrome,tumor necrosis factor receptor associated periodic syndrome,10,Tumor necrosis factor receptor-associated periodic syndrome,Oncology,1.0,regex_override,Oncology,0.29369336,0.7063066363334656
hypophosphatasia,hypophosphatasia,10,Hypophosphatasia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
alport syndrome,alport syndrome,10,Alport syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
turner syndrome,turner syndrome,10,Turner Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.012017287,0.9879827126860619
familial mediterranean fever,familial mediterranean fever,10,Familial Mediterranean fever,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
congenital contractural arachnodactyly,congenital contractural arachnodactyly,10,Congenital contractural arachnodactyly,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hereditary multiple osteochondromas,hereditary multiple osteochondromas,10,Hereditary multiple osteochondromas,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
milroy disease,milroy disease,10,Milroy disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
binswanger's disease,binswanger s disease,10,Binswanger's disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
glomerular diseases,glomerular diseases,10,Glomerular Diseases,General & Preventive Medicine,0.08567999303340912,fallback_default,Infectious Diseases,0.079956286,0.005723707377910614
testicular cancer,testicular cancer,10,Testicular Cancer,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
systemic scleroderma,systemic scleroderma,10,Systemic scleroderma,Immunology & Rheumatology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
achondrogenesis,achondrogenesis,10,Achondrogenesis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
mucopolysaccharidosis type i,mucopolysaccharidosis type i,10,Mucopolysaccharidosis type I,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
peyronie's disease,peyronie s disease,10,Peyronie's Disease,General & Preventive Medicine,0.06588342040777206,fallback_default,Pulmonology & Respiratory,0.05863229,0.007251128554344177
cerebrotendinous xanthomatosis,cerebrotendinous xanthomatosis,10,Cerebrotendinous xanthomatosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
chronic myelogenous leukemia,chronic myelogenous leukemia,10,Chronic Myelogenous Leukemia,Oncology,1.0,regex_override,General & Preventive Medicine,0.040549643,0.9594503566622734
ankylosing spondylitis,ankylosing spondylitis,10,Ankylosing Spondylitis,General & Preventive Medicine,0.09527770429849625,fallback_default,General & Preventive Medicine,0.0,0.09527770429849625
leukoencephalopathy with vanishing white matter,leukoencephalopathy with vanishing white matter,10,Leukoencephalopathy with vanishing white matter,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
partington syndrome,partington syndrome,10,Partington syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
gastritis,gastritis,10,Gastritis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
congenital bilateral absence of the vas deferens,congenital bilateral absence of the vas deferens,10,Congenital bilateral absence of the vas deferens,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
diabetic kidney disease,diabetic kidney disease,10,Diabetic Kidney Disease,Nephrology & Urology,1.0,regex_override,Endocrinology & Diabetes,0.4,0.5999999940395355
isovaleric acidemia,isovaleric acidemia,10,Isovaleric acidemia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
weill-marchesani syndrome,weill marchesani syndrome,10,Weill-Marchesani syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008026777,0.9919732231646776
rotor syndrome,rotor syndrome,10,Rotor syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
parkinson disease,parkinson disease,10,Parkinson disease,Neurology & Neurosurgery,1.0,regex_override,Gastroenterology & Hepatology,0.07107482,0.9289251789450645
anemia in chronic kidney disease,anemia in chronic kidney disease,10,Anemia in Chronic Kidney Disease,Nephrology & Urology,1.0,regex_override,Hematology,0.36892003,0.6310799717903137
creutzfeldt-jakob disease,creutzfeldt jakob disease,10,Creutzfeldt-Jakob Disease,General & Preventive Medicine,0.04930289834737778,fallback_default,Pulmonology & Respiratory,0.04387662,0.005426280200481415
asthma,asthma,10,Asthma,Pulmonology & Respiratory,1.0,regex_override,General & Preventive Medicine,0.0,1.0
microscopic colitis: collagenous colitis and lymphocytic colitis,microscopic colitis collagenous colitis and lymphocytic colitis,10,Microscopic Colitis: Collagenous Colitis and Lymphocytic Colitis,General & Preventive Medicine,0.08263397216796875,fallback_default,Neurology & Neurosurgery,0.0070006074,0.07563336472958326
childhood nephrotic syndrome,childhood nephrotic syndrome,10,Childhood Nephrotic Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.17376593,0.8262340724468231
anal cancer,anal cancer,10,Anal Cancer,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
familial osteochondritis dissecans,familial osteochondritis dissecans,10,Familial osteochondritis dissecans,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
primary carnitine deficiency,primary carnitine deficiency,10,Primary carnitine deficiency,General & Preventive Medicine,0.03375387191772461,fallback_default,Immunology & Rheumatology,0.022630218,0.011123653501272202
hypokalemic periodic paralysis,hypokalemic periodic paralysis,10,Hypokalemic periodic paralysis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
neutral lipid storage disease with myopathy,neutral lipid storage disease with myopathy,10,Neutral lipid storage disease with myopathy,Neurology & Neurosurgery,1.0,regex_override,Endocrinology & Diabetes,0.05463967,0.945360329002142
harlequin ichthyosis,harlequin ichthyosis,10,Harlequin ichthyosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
crohn's disease,crohn s disease,10,Crohn's Disease,Gastroenterology & Hepatology,1.0,regex_override,Pulmonology & Respiratory,0.062701635,0.9372983649373055
acquired cystic kidney disease,acquired cystic kidney disease,10,Acquired Cystic Kidney Disease,Nephrology & Urology,1.0,regex_override,Gastroenterology & Hepatology,0.04502885,0.9549711495637894
adolescent idiopathic scoliosis,adolescent idiopathic scoliosis,10,Adolescent idiopathic scoliosis,Pediatrics & Development,1.0,regex_override,Musculoskeletal & Orthopedics,0.3,0.699999988079071
urinary tract infection in adults,urinary tract infection in adults,10,Urinary Tract Infection In Adults,Nephrology & Urology,1.0,regex_override,Infectious Diseases,0.2,0.7999999970197678
urinary tract infections,urinary tract infections,10,Urinary Tract Infections,Nephrology & Urology,1.0,regex_override,Infectious Diseases,0.06791417,0.9320858269929886
galactosialidosis,galactosialidosis,10,Galactosialidosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
what i need to know about my child's urinary tract infection,what i need to know about my child s urinary tract infection,10,What I need to know about My Child's Urinary Tract Infection,Nephrology & Urology,1.0,regex_override,Pediatrics & Development,0.37745336,0.6225466430187225
zollinger-ellison syndrome,zollinger ellison syndrome,10,Zollinger-Ellison Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
progressive supranuclear palsy,progressive supranuclear palsy,10,Progressive Supranuclear Palsy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
dentatorubral-pallidoluysian atrophy,dentatorubral pallidoluysian atrophy,10,Dentatorubral-pallidoluysian atrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
majeed syndrome,majeed syndrome,10,Majeed syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
kidney stones in children,kidney stones in children,10,Kidney Stones in Children,Nephrology & Urology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
what i need to know about kidney stones,what i need to know about kidney stones,10,What I need to know about Kidney Stones,Nephrology & Urology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
hemolytic uremic syndrome in children,hemolytic uremic syndrome in children,10,Hemolytic Uremic Syndrome in Children,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006886584,0.9931134157814085
pseudohypoaldosteronism type 2,pseudohypoaldosteronism type 2,10,Pseudohypoaldosteronism type 2,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
inguinal hernia,inguinal hernia,10,Inguinal Hernia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
brody myopathy,brody myopathy,10,Brody myopathy,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
kidney stones in adults,kidney stones in adults,10,Kidney Stones in Adults,Nephrology & Urology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
whipple disease,whipple disease,10,Whipple Disease,General & Preventive Medicine,0.06588342040777206,fallback_default,Pulmonology & Respiratory,0.05863229,0.007251128554344177
"ovarian epithelial, fallopian tube, and primary peritoneal cancer",ovarian epithelial fallopian tube and primary peritoneal cancer,10,"Ovarian Epithelial, Fallopian Tube, and Primary Peritoneal Cancer",Oncology,1.0,regex_override,Obstetrics & Gynecology,0.3761924,0.6238076090812683
erythromelalgia,erythromelalgia,10,Erythromelalgia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
kidney failure: choosing a treatment that's right for you,kidney failure choosing a treatment that s right for you,10,Kidney Failure: Choosing a Treatment That's Right for You,Nephrology & Urology,1.0,regex_override,Oncology,0.054748025,0.9452519752085209
achondroplasia,achondroplasia,10,Achondroplasia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
intrahepatic cholestasis of pregnancy,intrahepatic cholestasis of pregnancy,10,Intrahepatic cholestasis of pregnancy,General & Preventive Medicine,0.07537494599819183,fallback_default,General & Preventive Medicine,0.0,0.07537494599819183
urinary incontinence in men,urinary incontinence in men,10,Urinary Incontinence in Men,Nephrology & Urology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
inclusion body myopathy 2,inclusion body myopathy 2,10,Inclusion body myopathy 2,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
what i need to know about hepatitis c,what i need to know about hepatitis c,10,What I need to know about Hepatitis C,Infectious Diseases,1.0,regex_override,Gastroenterology & Hepatology,0.04159065,0.9584093503654003
lynch syndrome,lynch syndrome,10,Lynch syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
dihydrolipoamide dehydrogenase deficiency,dihydrolipoamide dehydrogenase deficiency,10,Dihydrolipoamide dehydrogenase deficiency,General & Preventive Medicine,0.023043356835842133,fallback_default,General & Preventive Medicine,0.0,0.023043356835842133
gerstmann-straussler-scheinker disease,gerstmann straussler scheinker disease,10,Gerstmann-Straussler-Scheinker disease,General & Preventive Medicine,0.037779439240694046,fallback_default,Pulmonology & Respiratory,0.033621434,0.004158005118370056
graves' disease,graves disease,10,Graves' disease,General & Preventive Medicine,0.06588342040777206,fallback_default,Pulmonology & Respiratory,0.05863229,0.007251128554344177
coffin-siris syndrome,coffin siris syndrome,10,Coffin-Siris syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008089127,0.9919108729809523
idiopathic pulmonary fibrosis,idiopathic pulmonary fibrosis,10,Idiopathic Pulmonary Fibrosis,Pulmonology & Respiratory,0.37359264492988586,anchor_similarity,General & Preventive Medicine,0.0,0.37359264492988586
myasthenia gravis,myasthenia gravis,10,Myasthenia Gravis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
klippel feil syndrome,klippel feil syndrome,10,Klippel Feil syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008435506,0.9915644936263561
antiphospholipid syndrome,antiphospholipid syndrome,9,Antiphospholipid Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011358343,0.988641656935215
primary myelofibrosis,primary myelofibrosis,9,Primary Myelofibrosis,General & Preventive Medicine,0.040720243006944656,fallback_default,Genetics & Rare Disorders,0.0,0.040720243006944656
